customer_id,email,signup_date,gender,gender_clean,region,loyalty_tier,layalty_clean
C00001,shaneramirez@gmail.com,2025-04-26,Male,Male,Central,Silver,Silver
C00002,jpeterson@bernard.com,2024-08-11,Female,Female,Central, Gold ,Gold
C00003,howardmaurice@yahoo.com,2025-05-15,male,Male,Central, Gold ,Gold
C00004,yherrera@arnold.org,2025-06-14,FEMALE,Female,Central,Gold,Gold
C00005,janetwilliams@gmail.com,2025-05-02,Male,Male,West,bronze,Bronze
C00006,wyattmichelle@yahoo.com,2024-10-21,male,Male,Central,bronze,Bronze
C00007,francisco53@hotmail.com,2024-10-17,FEMALE,Female,North, Gold ,Gold
C00008,amandasanchez@gray-mayo.net,2024-09-29,male,Male,Central, Gold ,Gold
C00009,perezantonio@yahoo.com,2024-12-08,FEMALE,Female,South,Silver,Silver
C00010,clarksherri@hotmail.com,2024-11-05,male,Male,East,Gold,Gold
C00011,pfoster@thomas-taylor.net,2025-01-31,Other,Other,East,Silver,Silver
C00012,zhurst@yahoo.com,2024-09-29,Female,Female,North,Silver,Silver
C00013,ddavis@hernandez.biz,2025-02-22,FEMALE,Female,West, Gold ,Gold
C00014,djames@king.com,2025-03-27,Other,Other,Central, Gold ,Gold
C00015,daniel62@yahoo.com,2024-07-07,Female,Female,Central,bronze,Bronze
C00016,williamrodriguez@hotmail.com,2024-10-29,Other,Other,North,Gold,Gold
C00017,nathanielmartin@sellers.com,,Male,Male,West,Gold,Gold
C00018,john39@gmail.com,2024-08-08,Female,Female,North,bronze,Bronze
C00019,spenceamanda@gmail.com,2024-08-24,Female,Female,East,Gold,Gold
C00020,josephbrennan@yahoo.com,2024-09-26,FEMALE,Female,East,Gold,Gold
C00021,raymond57@hayes.com,2025-02-19,male,Male,South,Silver,Silver
C00022,adrianzimmerman@perez.com,2024-08-02,Female,Female,West,Silver,Silver
C00023,elizabeth38@cummings.org,2025-01-05,Male,Male,East, Gold ,Gold
C00024,maguirre@davis.com,2024-12-17,Female,Female,West,Silver,Silver
C00025,dshields@hotmail.com,2025-03-16,Female,Female,North,Gold,Gold
C00026,powellmatthew@wright.net,2024-12-27,Female,Female,North, Gold ,Gold
C00027,dwhite@baxter.info,2025-05-15,male,Male,North, Gold ,Gold
C00028,pearsonamber@novak.com,2024-12-10,Female,Female,North, Gold ,Gold
C00029,zlewis@gmail.com,2024-09-07,male,Male,North,Silver,Silver
C00030,gallowayjoseph@yahoo.com,2024-10-24,male,Male,North, Gold ,Gold
C00031,smoore@gmail.com,2024-07-28,Female,Female,Central, Gold ,Gold
C00032,brian97@calhoun.net,2024-08-06,FEMALE,Female,East,Gold,Gold
C00033,larsonemma@powell.com,2025-02-15,Other,Other,North,Gold,Gold
C00034,barnesbrandy@stewart.com,2024-10-06,Female,Female,Central,Gold,Gold
C00035,panderson@yahoo.com,2024-12-30,Other,Other,South,Silver,Silver
C00036,smithchristine@hotmail.com,2024-08-13,male,Male,West,bronze,Bronze
C00037,williamanderson@ibarra-suarez.com,2024-10-24,Female,Female,East,Gold,Gold
C00038,tbass@carr-archer.net,2024-07-09,Female,Female,East,Gold,Gold
C00039,mcmillandennis@gmail.com,2025-06-16,Other,Other,South,Silver,Silver
C00040,josephjacobs@cooper.net,2025-01-11,Female,Female,East,Gold,Gold
C00041,davisrodney@yahoo.com,2024-07-23,Male,Male,North,bronze,Bronze
C00042,kellie42@ramos.com,2024-08-04,Female,Female,West,bronze,Bronze
C00043,davenportbrandi@jordan.com,2024-11-24,FEMALE,Female,East,Silver,Silver
C00044,jason31@deleon-henson.biz,2025-03-04,Female,Female,Central, Gold ,Gold
C00045,michellecherry@keith.com,2025-04-18,FEMALE,Female,West,bronze,Bronze
C00046,vpham@gmail.com,2024-10-17,Male,Male,North,bronze,Bronze
C00047,reyesbenjamin@walker-velasquez.info,2024-11-18,Female,Female,West,bronze,Bronze
C00048,jeffreykeller@yahoo.com,2024-11-10,Female,Female,East, Gold ,Gold
C00049,rasmussenjoshua@hotmail.com,2025-01-19,Male,Male,South, Gold ,Gold
C00050,sheila14@gmail.com,2025-02-16,Female,Female,West,bronze,Bronze
C00051,rodriguezryan@hotmail.com,2025-05-07,FEMALE,Female,East,Gold,Gold
C00052,gobrien@gmail.com,2024-12-02,Female,Female,East,Gold,Gold
C00053,bradley60@frost.com,2024-11-24,Female,Female,North,Gold,Gold
C00054,rushsamantha@hotmail.com,2024-11-04,Female,Female,East,Silver,Silver
C00055,william65@terry-spencer.com,2024-12-16,Female,Female,North,Gold,Gold
C00056,christinaturner@hotmail.com,2025-05-25,male,Male,South,bronze,Bronze
C00057,justin69@pena.com,2025-01-20,male,Male,Central,Gold,Gold
C00058,donnacampbell@hotmail.com,2025-03-08,Male,Male,West,Gold,Gold
C00059,cardenaskaren@hotmail.com,2024-11-03,Female,Female,West,bronze,Bronze
C00060,dylanwilliams@carr-mack.info,2024-12-13,male,Male,West, Gold ,Gold
C00061,psnyder@douglas.com,2025-05-04,Female,Female,North, Gold ,Gold
C00062,gregoryrubio@hotmail.com,2025-01-02,male,Male,West,Gold,Gold
C00063,samanthamartinez@solis.net,2025-02-08,male,Male,North, Gold ,Gold
C00064,usalazar@hotmail.com,2024-12-18,Female,Female,Central,Gold,Gold
C00065,juliawells@yahoo.com,2025-04-23,male,Male,North,Gold,Gold
C00066,katie87@allen.com,2024-10-19,Other,Other,South,Gold,Gold
C00067,patricia12@gmail.com,2024-10-03,Other,Other,Central,Silver,Silver
C00068,jasminebrown@yahoo.com,2024-11-11,Female,Female,East,Gold,Gold
C00069,abrown@yahoo.com,2025-06-22,Female,Female,North,Gold,Gold
C00070,wwoods@molina-castaneda.biz,2025-01-31,Male,Male,Central,Gold,Gold
C00071,brobinson@johnson-rogers.biz,2025-04-13,male,Male,Central, Gold ,Gold
C00072,ncalhoun@johnson.com,2024-08-07,FEMALE,Female,East, Gold ,Gold
C00073,michellewhite@yahoo.com,2024-11-30,Female,Female,North,Silver,Silver
C00074,shawnrogers@yahoo.com,2024-10-22,male,Male,North,bronze,Bronze
C00075,mary70@hotmail.com,2025-01-31,Other,Other,North, Gold ,Gold
C00076,jeffrey10@herring.com,2025-03-04,Female,Female,North,Gold,Gold
C00077,davidcaldwell@gould.com,2024-09-09,Female,Female,Central,Gold,Gold
C00078,tamirodriguez@hickman.biz,2024-12-07,male,Male,West,Gold,Gold
C00079,vargasmaria@garcia.org,2025-05-14,FEMALE,Female,North,bronze,Bronze
C00080,reedross@jones-holland.com,2025-05-31,Female,Female,North,bronze,Bronze
